('013_mask.nii.gz', 'MS_00001.nii.gz')
('patient13_mask.nii.gz', 'MS_00002.nii.gz')
('patient20_mask.nii.gz', 'MS_00003.nii.gz')
('patient8_mask.nii.gz', 'MS_00004.nii.gz')
('032_mask.nii.gz', 'MS_00005.nii.gz')
('052_mask.nii.gz', 'MS_00006.nii.gz')
('018_mask.nii.gz', 'MS_00007.nii.gz')
('077_mask.nii.gz', 'MS_00008.nii.gz')
('094_mask.nii.gz', 'MS_00009.nii.gz')
('095_mask.nii.gz', 'MS_00010.nii.gz')
('091_mask.nii.gz', 'MS_00011.nii.gz')
('035_mask.nii.gz', 'MS_00012.nii.gz')
('070_mask.nii.gz', 'MS_00013.nii.gz')
('047_mask.nii.gz', 'MS_00014.nii.gz')
('015_mask.nii.gz', 'MS_00015.nii.gz')
('patient12_mask.nii.gz', 'MS_00016.nii.gz')
('068_mask.nii.gz', 'MS_00017.nii.gz')
('patient17_mask.nii.gz', 'MS_00018.nii.gz')
('patient7_mask.nii.gz', 'MS_00019.nii.gz')
('patient16_mask.nii.gz', 'MS_00020.nii.gz')
('027_mask.nii.gz', 'MS_00021.nii.gz')
('patient11_mask.nii.gz', 'MS_00022.nii.gz')
('084_mask.nii.gz', 'MS_00023.nii.gz')
('100_mask.nii.gz', 'MS_00024.nii.gz')
('patient3_mask.nii.gz', 'MS_00025.nii.gz')
('patient6_mask.nii.gz', 'MS_00026.nii.gz')
('patient18_mask.nii.gz', 'MS_00027.nii.gz')
('057_mask.nii.gz', 'MS_00028.nii.gz')
('patient10_mask.nii.gz', 'MS_00029.nii.gz')
('029_mask.nii.gz', 'MS_00030.nii.gz')
('037_mask.nii.gz', 'MS_00031.nii.gz')
('patient19_mask.nii.gz', 'MS_00032.nii.gz')
('patient2_mask.nii.gz', 'MS_00033.nii.gz')
('patient5_mask.nii.gz', 'MS_00034.nii.gz')
('090_mask.nii.gz', 'MS_00035.nii.gz')
('099_mask.nii.gz', 'MS_00036.nii.gz')
('039_mask.nii.gz', 'MS_00037.nii.gz')
('021_mask.nii.gz', 'MS_00038.nii.gz')
('088_mask.nii.gz', 'MS_00039.nii.gz')
('024_mask.nii.gz', 'MS_00040.nii.gz')
('patient4_mask.nii.gz', 'MS_00041.nii.gz')
('074_mask.nii.gz', 'MS_00042.nii.gz')
('patient15_mask.nii.gz', 'MS_00043.nii.gz')
('069_mask.nii.gz', 'MS_00044.nii.gz')
('051_mask.nii.gz', 'MS_00045.nii.gz')
('049_mask.nii.gz', 'MS_00046.nii.gz')
('061_mask.nii.gz', 'MS_00047.nii.gz')
('089_mask.nii.gz', 'MS_00048.nii.gz')
('patient1_mask.nii.gz', 'MS_00049.nii.gz')
('020_mask.nii.gz', 'MS_00050.nii.gz')
('016_mask.nii.gz', 'MS_00051.nii.gz')
('030_mask.nii.gz', 'MS_00052.nii.gz')
('048_mask.nii.gz', 'MS_00053.nii.gz')
('096_mask.nii.gz', 'MS_00054.nii.gz')
('026_mask.nii.gz', 'MS_00055.nii.gz')
('019_mask.nii.gz', 'MS_00056.nii.gz')
('083_mask.nii.gz', 'MS_00057.nii.gz')
('043_mask.nii.gz', 'MS_00058.nii.gz')
('patient14_mask.nii.gz', 'MS_00059.nii.gz')
('patient9_mask.nii.gz', 'MS_00060.nii.gz')
